grader_id,student_id,expected,score
2,356858,68.2033444056287,4.97
2,369798,87.8425970673561,16.61
2,376824,6.76011177711189,2.5
2,413220,94.7075329255313,24.96
2,427577,21.1178090889007,2.6
2,451858,78.3619640627876,7.82
2,526806,28.0547780683264,2.89
2,548799,73.1827873270959,6.99
2,567492,61.8406057823449,4.62
2,634450,69.753633113578,5.81
2,643430,27.0447977352887,2.76
2,663138,54.5404405565932,3.67
2,715798,22.9283232241869,2.59
2,724483,19.5906673790887,1.74
2,738488,72.337937518023,6.67
2,747033,6.37952638790011,1.96
2,767407,32.9641625517979,3.32
2,782826,17.0146604534239,2.15
2,786331,22.4283348536119,2.48
2,802804,44.1645954037085,3.98
2,812693,85.0980972172692,10.92
2,861257,1.78576044272631,1.96
2,890187,97.3553016083315,32.9
2,915496,41.1240032408386,3.75
2,946355,66.468699532561,4.74
2,949135,85.9368361998349,12.11
2,951898,23.2680172659457,2.4
2,956616,68.3609583647922,5.29
3,6648,65.4899939196184,80.73
3,29337,6.05855688918382,50.76
3,38658,10.0242131622508,52.5
3,44058,3.97605020552874,49.92
3,54112,88.2321631535888,91.64
3,70645,82.6964269625023,89.69
3,95432,38.4347608312964,66.25
3,125612,32.2502027964219,62.78
3,125787,70.8384997444227,82.99
3,153642,53.4736406523734,73.84
3,157163,72.159158391878,84.42
3,160203,43.2361991377547,68.67
3,175660,34.1183848911896,65.16
3,185318,84.0656260494143,89.84
3,186203,27.2517937002704,61.06
3,203114,33.2233861554414,64.47
3,258394,20.2112955506891,57.61
3,266269,87.1053159702569,90.76
3,275349,81.3692866824567,87.88
3,300742,99.4039296871051,97.58
3,322216,98.931163479574,96.96
3,331938,4.2421868769452,49.19
3,356858,68.2033444056287,81.75
3,369798,87.8425970673561,91.28
3,376824,6.76011177711189,51.31
3,413220,94.7075329255313,95.26
3,427577,21.1178090889007,58.61
3,451858,78.3619640627876,87
3,526806,28.0547780683264,61.66
3,548799,73.1827873270959,83.09
3,567492,61.8406057823449,78.82
3,634450,69.753633113578,82.56
3,643430,27.0447977352887,60.82
3,663138,54.5404405565932,74.79
3,715798,22.9283232241869,58.75
3,724483,19.5906673790887,57.6
3,738488,72.337937518023,83.91
3,747033,6.37952638790011,50.7
3,767407,32.9641625517979,64.45
3,782826,17.0146604534239,56.53
3,786331,22.4283348536119,59.62
3,802804,44.1645954037085,69.86
3,812693,85.0980972172692,90.5
3,861257,1.78576044272631,47.65
3,890187,97.3553016083315,96.78
3,915496,41.1240032408386,68.35
3,946355,66.468699532561,80.52
3,949135,85.9368361998349,91.05
3,951898,23.2680172659457,59.8
3,956616,68.3609583647922,81.89
4,6648,65.4899939196184,65.15
4,29337,6.05855688918382,6.82
4,38658,10.0242131622508,80.75
4,44058,3.97605020552874,59.64
4,54112,88.2321631535888,88.96
4,70645,82.6964269625023,83.52
4,95432,38.4347608312964,37.97
4,125612,32.2502027964219,20.5
4,125787,70.8384997444227,77.56
4,153642,53.4736406523734,90.82
4,157163,72.159158391878,96.45
4,160203,43.2361991377547,43.31
4,175660,34.1183848911896,35.02
4,185318,84.0656260494143,96.61
4,186203,27.2517937002704,27.89
4,203114,33.2233861554414,33.42
4,258394,20.2112955506891,5.24
4,266269,87.1053159702569,49.55
4,275349,81.3692866824567,52.05
4,300742,99.4039296871051,98.54
4,322216,98.931163479574,98.54
4,331938,4.2421868769452,4.65
4,356858,68.2033444056287,69.14
4,369798,87.8425970673561,87.78
4,376824,6.76011177711189,6.15
4,413220,94.7075329255313,13.84
4,427577,21.1178090889007,20.45
4,451858,78.3619640627876,57.91
4,526806,28.0547780683264,28.28
4,548799,73.1827873270959,56.8
4,567492,61.8406057823449,61.28
4,634450,69.753633113578,99
4,643430,27.0447977352887,27.46
4,663138,54.5404405565932,89.36
4,715798,22.9283232241869,23.2
4,724483,19.5906673790887,20.96
4,738488,72.337937518023,71.33
4,747033,6.37952638790011,88.85
4,767407,32.9641625517979,33.4
4,782826,17.0146604534239,16.92
4,786331,22.4283348536119,23.43
4,802804,44.1645954037085,43.28
4,812693,85.0980972172692,85.63
4,861257,1.78576044272631,1.8
4,890187,97.3553016083315,97.2
4,915496,41.1240032408386,40.02
4,946355,66.468699532561,11.58
4,949135,85.9368361998349,80.43
4,951898,23.2680172659457,74.57
4,956616,68.3609583647922,67.06
5,6648,65.4899939196184,67.97
5,29337,6.05855688918382,5.49
5,38658,10.0242131622508,9.41
5,44058,3.97605020552874,4.77
5,54112,88.2321631535888,86.61
5,70645,82.6964269625023,82.34
5,95432,38.4347608312964,38.99
5,125612,32.2502027964219,32.29
5,125787,70.8384997444227,71.66
5,153642,53.4736406523734,53.43
5,157163,72.159158391878,73.15
5,160203,43.2361991377547,43.74
5,175660,34.1183848911896,33.95
5,185318,84.0656260494143,82.97
5,186203,27.2517937002704,25.84
5,203114,33.2233861554414,33.8
5,258394,20.2112955506891,20.82
5,266269,87.1053159702569,85.69
5,275349,81.3692866824567,81.05
5,300742,99.4039296871051,81.34
5,322216,98.931163479574,97.99
5,331938,4.2421868769452,3.14
5,356858,68.2033444056287,69.03
5,369798,87.8425970673561,87.63
5,376824,6.76011177711189,5.11
5,413220,94.7075329255313,95.13
5,427577,21.1178090889007,20.83
5,451858,78.3619640627876,79.21
5,526806,28.0547780683264,28.1
5,548799,73.1827873270959,73.59
5,567492,61.8406057823449,62.44
5,634450,69.753633113578,68.86
5,643430,27.0447977352887,29.04
5,663138,54.5404405565932,55.88
5,715798,22.9283232241869,22.98
5,724483,19.5906673790887,20.78
5,738488,72.337937518023,74.2
5,747033,6.37952638790011,6.74
5,767407,32.9641625517979,33.19
5,782826,17.0146604534239,17.81
5,786331,22.4283348536119,20.01
5,802804,44.1645954037085,44.1
5,812693,85.0980972172692,85.57
5,861257,1.78576044272631,2.92
5,890187,97.3553016083315,98.7
5,915496,41.1240032408386,40.68
5,946355,66.468699532561,67.44
5,949135,85.9368361998349,87.37
5,951898,23.2680172659457,23.33
5,956616,68.3609583647922,66.87
